,REGION,YEAR,WEEK,TOTAL CASES
0,Alabama,2010,40,0.0
1,Alaska,2010,40,0.0
2,Arizona,2010,40,1.0
3,Arkansas,2010,40,0.0
4,California,2010,40,6.0
5,Colorado,2010,40,1.0
6,Connecticut,2010,40,0.0
7,Delaware,2010,40,3.0
8,District of Columbia,2010,40,0.0
9,Florida,2010,40,0.0
10,Georgia,2010,40,2.0
11,Hawaii,2010,40,9.0
12,Idaho,2010,40,0.0
13,Illinois,2010,40,0.0
14,Indiana,2010,40,0.0
15,Iowa,2010,40,0.0
16,Kansas,2010,40,0.0
17,Kentucky,2010,40,1.0
18,Louisiana,2010,40,4.0
19,Maine,2010,40,0.0
20,Maryland,2010,40,0.0
21,Massachusetts,2010,40,0.0
22,Michigan,2010,40,0.0
23,Minnesota,2010,40,1.0
24,Mississippi,2010,40,0.0
25,Missouri,2010,40,0.0
26,Montana,2010,40,0.0
27,Nebraska,2010,40,0.0
28,Nevada,2010,40,0.0
29,New Hampshire,2010,40,1.0
30,New Jersey,2010,40,0.0
31,New Mexico,2010,40,0.0
32,New York,2010,40,3.0
33,North Carolina,2010,40,0.0
34,North Dakota,2010,40,1.0
35,Ohio,2010,40,0.0
36,Oklahoma,2010,40,0.0
37,Oregon,2010,40,0.0
38,Pennsylvania,2010,40,1.0
39,Rhode Island,2010,40,0.0
40,South Carolina,2010,40,1.0
41,South Dakota,2010,40,0.0
42,Tennessee,2010,40,1.0
43,Texas,2010,40,2.0
44,Utah,2010,40,4.0
45,Vermont,2010,40,0.0
46,Virginia,2010,40,1.0
47,Washington,2010,40,2.0
48,West Virginia,2010,40,0.0
49,Wisconsin,2010,40,0.0
50,Wyoming,2010,40,0.0
51,Puerto Rico,2010,40,0.0
52,Virgin Islands,2010,40,0.0
53,New York City,2010,40,0.0
54,Alabama,2010,41,0.0
55,Alaska,2010,41,0.0
56,Arizona,2010,41,3.0
57,Arkansas,2010,41,1.0
58,California,2010,41,2.0
59,Colorado,2010,41,2.0
60,Connecticut,2010,41,1.0
61,Delaware,2010,41,1.0
62,District of Columbia,2010,41,0.0
63,Florida,2010,41,0.0
64,Georgia,2010,41,4.0
65,Hawaii,2010,41,17.0
66,Idaho,2010,41,0.0
67,Illinois,2010,41,4.0
68,Indiana,2010,41,0.0
69,Iowa,2010,41,0.0
70,Kansas,2010,41,0.0
71,Kentucky,2010,41,2.0
72,Louisiana,2010,41,2.0
